420200101,3,-1,1,0
420200102,3,0,0,0
420200103,3,0,0,0
420200104,4,1,2,0
420200105,3,0,0,0
420200106,3,0,2,0
420200107,2,-3,0,0
420200108,1,-6,-3,0
420200109,7,-8,0,0
420200110,9,4,7,0
420200111,14,3,8,0
420200112,3,-4,-1,0
420200113,3,-2,1,0
420200114,5,1,3,0
420200115,4,3,4,0
420200116,3,-8,-3,0
420200117,-6,-12,-9,0
420200118,5,-6,-1,0
420200119,2,-9,-4,0
420200120,-4,-12,-8,0
420200121,-2,-5,-4,0
420200122,1,-4,-2,0
420200123,2,-1,1,0
420200124,4,1,2,0
420200125,4,2,3,0
420200126,4,1,3,0
420200127,2,1,2,0
420200128,2,-1,1,0
420200129,0,-5,-3,0
420200130,0,-5,-3,0
420200131,0,-1,0,0
420200201,2,-1,0,0
420200202,3,0,2,0
420200203,7,3,5,0
420200204,4,-2,1,0
420200205,-2,-6,-4,0
420200206,-2,-4,-3,0
420200207,-1,-7,-4,0
420200208,-5,-11,-8,0
420200209,2,-7,-2,0
420200210,4,2,3,0
420200211,3,-1,1,0
420200212,2,-2,0,0
420200213,1,-12,-5,0
420200214,-7,-17,-12,0
420200215,2,-8,-3,0
420200216,4,-1,2,0
420200217,0,-4,-2,0
420200218,6,-2,2,0
420200219,1,-6,-3,0
420200220,-4,-8,-6,0
420200221,1,-7,-3,0
420200222,5,-1,2,0
420200223,9,2,6,0
420200224,9,3,6,0
420200225,5,2,3,0
420200226,4,-3,1,0
420200227,-3,-5,-4,0
420200228,-3,-7,-5,0
420200229,-2,-10,-6,0
420200301,5,-7,-1,0
420200302,8,4,6,0
420200303,5,2,4,0
420200304,6,2,4,0
420200305,6,-1,3,0
420200306,3,0,1,0
420200307,4,-5,0,0
420200308,12,1,7,0
420200309,15,9,12,0
420200310,13,0,7,0
420200311,2,-1,1,0
420200312,4,2,3,0
420200313,11,3,7,0
420200314,3,1,2,0
420200315,2,-2,0,0
420200316,3,-2,1,0
420200317,8,2,5,0
420200318,3,0,2,0
420200319,4,3,4,0
420200320,19,-2,8,0
420200321,-1,-6,-3,0
420200322,2,-5,-2,0
420200323,4,0,2,0
420200324,4,2,3,0
420200325,5,3,4,0
420200326,14,3,9,0
420200327,5,3,4,0
420200328,5,3,4,0
420200329,19,4,11,0
420200330,10,6,8,0
420200331,6,4,5,0
420200401,8,3,5,0
420200402,14,4,9,0
420200403,9,4,7,0
420200404,8,5,7,0
420200405,10,5,7,0
420200406,15,2,9,0
420200407,10,5,8,0
420200408,15,6,10,0
420200409,9,2,6,0
420200410,6,2,4,0
420200411,9,1,5,0
420200412,11,5,8,0
420200413,14,4,9,0
420200414,6,1,4,0
420200415,4,-1,2,0
420200416,4,-1,2,0
420200417,5,1,3,0
420200418,9,0,4,0
420200419,12,1,7,0
420200420,7,0,3,0
420200421,10,0,5,0
420200422,6,-1,2,0
420200423,4,2,3,0
420200424,7,4,6,0
420200425,9,3,6,0
420200426,9,5,7,0
420200427,13,6,10,0
420200428,10,5,8,0
420200429,10,6,8,0
420200430,10,6,8,0
420200501,16,8,12,0
420200502,18,8,13,0
420200503,21,10,15,0
420200504,11,4,8,0
420200505,7,3,5,0
420200506,11,5,8,0
420200507,14,4,9,0
420200508,6,0,3,0
420200509,7,-1,3,0
420200510,9,3,6,0
420200511,7,2,5,0
420200512,10,1,6,0
420200513,12,2,7,0
420200514,8,5,7,0
420200515,22,6,14,0
420200516,12,7,10,0
