120200606,25.3,15.2,0,0.4
120200607,21.6,12.7,0,0
120200608,22.8,12.2,0,0.6
120200609,30.5,16.1,0,0
120200610,30.4,16.9,0,15.7
120200611,24.5,16.6,0,0
120200612,19.3,10.7,0,0.7
120200613,18.1,9.8,0,1
120200614,18.1,10.3,0,0.8
120200615,20.7,12,0,1.1
120200616,24.1,12.3,0,1.2
120200617,27.3,14.5,0,0.7
120200618,29.1,16.8,0,0.9
120200619,29,18.9,0,1
120200620,31.3,19.5,0,0.8
120200621,30.1,20.1,0,0.4
120200622,30.9,20.9,0,0.5
120200623,24.8,18.9,0,4.9
120200624,23.4,17,0,0.7
120200625,25.9,13.5,0,1.1
120200626,30.7,16.5,0,1.1
120200627,30.3,18.2,0,0.2
120200628,29.7,18.3,0,0.8
120200629,30.1,19.7,0,0.9
120200630,27.3,20.3,0,0.8
120200701,28.8,19.3,0,0.8
120200702,35.5,23.2,0,0.5
120200703,33.3,22.2,0,0.5
120200704,30.8,21.4,0,1
120200705,33.4,19.1,0,0.5
120200706,30.1,23.1,0,0.5
120200707,34,22,0,0.8
120200708,33,21.6,0,14.8
120200709,34.2,23.8,0,0.2
120200710,31.5,22.8,0,0.4
120200711,29.7,21,0,4.8
120200712,27.9,19.1,0,0.9
120200713,26.7,18.7,0,0.8
120200714,27.4,18.3,0,1.1
120200715,28.8,19.5,0,0.9
120200716,25.3,22.5,0,4.7
120200717,30.6,21.1,0,0.3
120200718,32.3,21,0,1
120200719,29.5,21.7,0,11.8
120200720,30.8,19.2,0,0
120200721,26.5,17.1,0,0.5
120200722,26.2,20.8,0,21.6
120200723,28.1,19.7,0,0.2
120200724,28,19.3,0,0.9
120200725,30,18.8,0,0.7
120200726,33.8,21.1,0,0.7
120200727,33.2,22.8,0,2.7
120200728,31.6,19.6,0,0.8
120200729,29.7,19.4,0,1.9
120200730,28.5,18.2,0,0.9
120200731,28.6,19.8,0,1
120200801,29.3,20.2,0,4.9
120200802,26.3,19.9,0,39.8
120200803,25.7,18.2,0,22.8
120200804,24,17.7,0,12.3
120200805,24.6,15.3,0,0.4
120200806,23.9,14.1,0,0
120200807,25.6,16.4,0,0
120200808,27.8,17.1,0,0.7
120200809,29.1,20.2,0,0
120200810,29.8,19.1,0,0
120200811,30.4,18,0,0
120200812,29.8,16.4,0,0
120200813,29.5,20.7,0,0
120200814,28.6,21.2,0,0
120200815,27.2,19.6,0,0
120200816,25,19.1,0,0.3
120200817,26.9,16.9,0,6.4
120200818,25.2,15.1,0,0
120200819,24,13.7,0,0
120200820,26.2,13.6,0,0.2
120200821,29.9,17.9,0,0.9
120200822,30.1,20.6,0,0
120200823,31.2,19.8,0,0
120200824,33.2,21.5,0,0.5
120200825,28,17.8,0,0
